,Date,UPRO,Unnamed: 2,URPO_PRICES
301,7/29/87,3.2%,,1.661879514966561
302,7/30/87,2.2%,,1.6984408642958255
303,7/31/87,0.5%,,1.7069330686173045
304,8/3/87,-1.1%,,1.6881568048625142
305,8/4/87,-1.2%,,1.6678989232041639
306,8/5/87,2.0%,,1.7012569016682473
307,8/6/87,3.5%,,1.7608008932266357
308,8/7/87,1.0%,,1.778408902158902
309,8/10/87,4.6%,,1.8602157116582116
310,8/11/87,4.9%,,1.951366281529464
311,8/12/87,-0.9%,,1.9338039849956987
312,8/13/87,2.0%,,1.9724800646956127
313,8/14/87,-0.6%,,1.960645184307439
314,8/17/87,0.1%,,1.9626058294917463
315,8/18/87,-4.4%,,1.8762511729941094
316,8/19/87,0.5%,,1.8856324288590798
317,8/20/87,4.6%,,1.9723715205865975
318,8/21/87,0.8%,,1.9881504927512903
319,8/24/87,-0.1%,,1.986162342258539
320,8/25/87,0.8%,,2.0020516409966076
321,8/26/87,-2.0%,,1.9620106081766755
322,8/27/87,-2.9%,,1.9051123005395518
323,8/28/87,-3.9%,,1.8308129208185093
324,8/31/87,2.5%,,1.8765832438389718
325,9/1/87,-5.9%,,1.7658648324524724
326,9/2/87,-1.6%,,1.7376109951332328
327,9/3/87,-1.4%,,1.7132844412013675
328,9/4/87,-3.3%,,1.6567460546417223
329,9/8/87,-3.2%,,1.6037301808931872
330,9/9/87,0.4%,,1.61014510161676
331,9/10/87,3.0%,,1.6584494546652628
332,9/11/87,4.6%,,1.734738129579865
333,9/14/87,0.9%,,1.7503507727460836
334,9/15/87,-4.9%,,1.6645835848815254
335,9/16/87,-2.8%,,1.6179752445048425
336,9/17/87,0.0%,,1.6179752445048425
337,9/18/87,-0.1%,,1.6163572692603376
338,9/21/87,-4.2%,,1.5484702639514034
339,9/22/87,8.6%,,1.6816387066512242
340,9/23/87,1.5%,,1.7068632872509923
341,9/24/87,-1.2%,,1.6863809278039805
342,9/25/87,0.4%,,1.6931264515151965
343,9/28/87,4.4%,,1.7676240153818652
344,9/29/87,-3.1%,,1.7128276709050274
345,9/30/87,0.0%,,1.7128276709050274
346,10/1/87,5.2%,,1.801894709792089
347,10/2/87,0.6%,,1.8127060780508415
348,10/5/87,0.0%,,1.8127060780508415
349,10/6/87,-8.1%,,1.6658768857287234
350,10/7/87,-0.7%,,1.6542157475286223
351,10/8/87,-4.2%,,1.5847386861324202
352,10/9/87,-2.8%,,1.5403660029207125
353,10/12/87,-2.1%,,1.5080183168593775
354,10/13/87,5.0%,,1.5834192327023464
355,10/14/87,-8.9%,,1.4424949209918376
356,10/15/87,-7.1%,,1.3400777816014173
357,10/16/87,-15.6%,,1.131025647671596
358,10/19/87,-61.5%,,0.4354448743535645
359,10/20/87,15.9%,,0.5046806093757813
360,10/21/87,27.2%,,0.6419537351259939
361,10/22/87,-11.7%,,0.5668451481162525
362,10/23/87,0.0%,,0.5668451481162525
363,10/26/87,-24.9%,,0.42570070623530565
364,10/27/87,7.3%,,0.45677685779048294
365,10/28/87,0.0%,,0.45677685779048294
366,10/29/87,14.7%,,0.5239230558856839
367,10/30/87,8.6%,,0.5689804386918528
368,11/2/87,4.7%,,0.5957225193103698
369,11/3/87,-5.8%,,0.5611706131903683
370,11/4/87,-2.2%,,0.5488248597001802
371,11/5/87,7.0%,,0.5872425998791929
372,11/6/87,-4.8%,,0.5590549550849916
373,11/9/87,-8.7%,,0.5104171739925973
374,11/10/87,-5.2%,,0.48387548094498223
375,11/11/87,3.6%,,0.5012949982590016
376,11/12/87,8.2%,,0.5424011881162397
377,11/13/87,-3.5%,,0.5234171465321713
378,11/16/87,1.3%,,0.5302215694370895
379,11/17/87,-4.5%,,0.5063615988124205
380,11/18/87,3.1%,,0.5220588083756055
381,11/19/87,-6.8%,,0.4865588094060643
382,11/20/87,2.6%,,0.49920933845062193
383,11/23/87,1.0%,,0.5042014318351281
384,11/24/87,4.2%,,0.5253778919722035
385,11/25/87,-2.8%,,0.5106673109969818
386,11/27/87,-0.1%,,0.5101566436859848
387,11/30/87,-17.1%,,0.42291985761568135
388,12/1/87,2.4%,,0.4330699341984577
389,12/2/87,1.7%,,0.44043212307983143
390,12/3/87,-10.6%,,0.3937463180333693
391,12/4/87,-1.8%,,0.38665888430876866
392,12/7/87,6.4%,,0.4114050529045299
393,12/8/87,8.0%,,0.4443174571368923
394,12/9/87,5.1%,,0.4669776474508738
395,12/10/87,-6.6%,,0.4361571227191161
396,12/11/87,2.1%,,0.4453164222962175
397,12/14/87,8.7%,,0.4840589510359884
398,12/15/87,0.7%,,0.48744736369324027
399,12/16/87,6.4%,,0.5186439949696077
400,12/17/87,-6.2%,,0.48648806728149196
401,12/18/87,7.7%,,0.5239476484621668
402,12/21/87,0.3%,,0.5255194914075533
403,12/22/87,0.4%,,0.5276215693731835
404,12/23/87,3.9%,,0.5481988105787376
405,12/24/87,-1.2%,,0.5416204248517927
406,12/28/87,-7.8%,,0.49937403171335293
407,12/29/87,-1.3%,,0.4928821693010793
408,12/30/87,3.9%,,0.5121045739038214
409,12/31/87,-0.9%,,0.5074956327386869
410,1/4/88,10.5%,,0.560782674176249
411,1/5/88,3.3%,,0.5792885024240653
412,1/6/88,0.3%,,0.5810263679313374
413,1/7/88,2.4%,,0.5949710007616895
414,1/8/88,-20.2%,,0.47478685860782827
415,1/11/88,4.9%,,0.49805141467961184
416,1/12/88,-2.5%,,0.48560012931262153
417,1/13/88,0.6%,,0.48851373008849724
418,1/14/88,0.0%,,0.48851373008849724
419,1/15/88,7.5%,,0.5251522598451345
420,1/18/88,-0.2%,,0.5241019553254442
421,1/19/88,-3.2%,,0.50733069275503
422,1/20/88,-8.1%,,0.46623690664187256
423,1/21/88,0.6%,,0.4690343280817238
424,1/22/88,4.1%,,0.4882647355330744
425,1/25/88,6.9%,,0.5219550022848566
426,1/26/88,-3.0%,,0.5062963522163109
427,1/27/88,-0.3%,,0.5047774631596619
428,1/28/88,4.7%,,0.5285020039281659
429,1/29/88,4.4%,,0.5517560921010053
430,2/1/88,-2.4%,,0.5385139458905811
431,2/2/88,0.7%,,0.5422835435118151
432,2/3/88,-3.9%,,0.5211344853148543
433,2/4/88,0.2%,,0.522176754285484
434,2/5/88,-1.4%,,0.5148662797254873
435,2/8/88,-2.3%,,0.503024355291801
436,2/9/88,3.2%,,0.5191211346611386
437,2/10/88,5.8%,,0.5492301604714847
438,2/11/88,-0.9%,,0.5442870890272413
439,2/12/88,2.0%,,0.5551728308077861
440,2/16/88,-0.2%,,0.5540624851461705
441,2/17/88,1.9%,,0.5645896723639477
442,2/18/88,-1.6%,,0.5555562376061246
443,2/19/88,4.3%,,0.5794451558231879
444,2/22/88,4.5%,,0.6055201878352313
445,2/23/88,-0.7%,,0.6012815465203847
446,2/24/88,-0.5%,,0.5982751387877827
447,2/25/88,-3.3%,,0.5785320592077858
448,2/26/88,1.0%,,0.5843173797998636
449,2/29/88,6.0%,,0.6193764225878555
450,3/1/88,-0.5%,,0.6162795404749163
451,3/2/88,0.9%,,0.6218260563391905
452,3/3/88,-0.2%,,0.6205824042265121
453,3/4/88,-0.7%,,0.6162383273969265
454,3/7/88,0.0%,,0.6162383273969265
455,3/8/88,2.3%,,0.6304118089270557
456,3/9/88,-0.4%,,0.6278901616913475
457,3/10/88,-5.9%,,0.590844642151558
458,3/11/88,1.2%,,0.5979347778573767
459,3/14/88,1.5%,,0.6069037995252373
460,3/15/88,-0.4%,,0.6044761843271363
461,3/16/88,3.0%,,0.6226104698569505
462,3/17/88,2.8%,,0.6400435630129451
463,3/18/88,-0.2%,,0.6387634758869192
464,3/21/88,-2.7%,,0.6215168620379723
465,3/22/88,0.1%,,0.6221383789000102
466,3/23/88,0.1%,,0.6227605172789101
467,3/24/88,-6.2%,,0.5841493652076176
468,3/25/88,-5.4%,,0.5526052994864062
469,3/28/88,-0.6%,,0.5492896676894878
470,3/29/88,2.3%,,0.561923330046346
471,3/30/88,-2.3%,,0.54899909345528
472,3/31/88,0.9%,,0.5539400852963774
473,4/4/88,-3.3%,,0.5356600624815969
