Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2016-10-12,23.3325,23.57,23.1525,23.385,21.592455,5792800,24.28395004
2016-10-13,22.870001,23.3325,22.555,23.155001,21.380087,5972000,24.26395004
2016-10-14,23.512501,23.684999,23.145,23.165001,21.38932,5942000,24.251000060000003
2016-10-17,23.1525,23.25,22.8575,22.934999,21.176952,4492400,24.22490006
2016-10-18,23.5275,23.547501,23.215,23.3325,21.543978,5958000,24.198300059999998
2016-10-19,23.445,23.65,23.3225,23.525,21.721725,2146000,24.171950040000002
2016-10-20,23.4025,23.615,23.15,23.4,21.6063,4296400,24.143400040000003
2016-10-21,23.102501,23.4625,23.035,23.43,21.634012,3824800,24.10915004
2016-10-24,23.75,23.865,23.594999,23.7075,21.890238,4127200,24.087950060000004
2016-10-25,23.66,23.752501,23.424999,23.5075,21.705563,5372000,24.061100039999996
2016-10-26,23.182501,23.565001,23.08,23.352501,21.562447,4628000,24.026600079999998
2016-10-27,23.627501,23.627501,23.127501,23.16,21.384703,3555600,24.00515008
2016-10-28,23.15,23.395,22.682501,22.942499,21.183872,7927200,23.97210008
2016-10-31,23.077499,23.15,22.8825,22.92,21.163097,3772400,23.937650079999997
2016-11-01,23.047501,23.077499,21.9825,22.450001,20.729126,8182000,23.90300008
2016-11-02,22.3225,22.465,21.875,22.0275,20.339014,5886400,23.8472001
2016-11-03,22.102501,22.190001,21.635,21.7325,20.066624,6000800,23.78995012
2016-11-04,21.780001,22.0725,21.610001,21.639999,19.981216,4517600,23.73600012
2016-11-07,22.5625,23.094999,22.5075,23.057501,21.290064,6525200,23.694500099999996
2016-11-08,22.942499,23.612499,22.8325,23.379999,21.587835,6892000,23.66350008
2016-11-09,22.790001,24.370001,22.790001,24.129999,22.280344,10286800,23.6241501
2016-11-10,24.465,24.7775,23.745001,24.285,22.423466,8039600,23.622550099999998
2016-11-11,24.0275,24.227501,23.775,24.147499,22.296505,5265200,23.61405012
2016-11-14,24.342501,24.422501,23.897499,24.184999,22.331129,4454000,23.60550014
2016-11-15,24.344999,24.75,24.262501,24.737499,22.841278,5878000,23.5943001
2016-11-16,24.525,24.705,24.467501,24.6425,22.753565,2623600,23.586000079999998
2016-11-17,24.684999,25.0175,24.637501,24.985001,23.069811,3218000,23.58240006
2016-11-18,25.02,25.08,24.754999,24.815001,22.912842,2643600,23.596750059999998
2016-11-21,25.057501,25.3925,24.997499,25.362499,23.418371,2594400,23.6428001
2016-11-22,25.5175,25.605,25.24,25.530001,23.573032,4909200,23.682500119999997
2016-11-23,25.32,25.59,25.24,25.577499,23.616892,2710400,23.72890012
2016-11-25,25.7125,25.8575,25.682501,25.85,23.868502,2276000,23.785350139999995
2016-11-28,25.725,25.825001,25.442499,25.4925,23.538403,2604000,23.83185014
2016-11-29,25.4925,25.8125,25.3675,25.620001,23.656136,2066800,23.86930012
2016-11-30,25.887501,25.9475,25.41,25.4125,23.464539,4189600,23.91310014
2016-12-01,25.555,25.557501,25.02,25.1525,23.224466,3791200,23.951400160000002
2016-12-02,25.184999,25.3825,25.049999,25.18,23.249859,2244800,23.963850139999998
2016-12-05,25.532499,25.7875,25.4475,25.615,23.65152,3278800,23.985400119999998
2016-12-06,25.719999,25.9,25.525,25.875,23.89159,2393600,24.022000119999998
2016-12-07,25.8225,26.924999,25.7775,26.887501,24.826477,3237600,24.067300099999997
2016-12-08,26.897499,27.295,26.785,27.102501,25.024994,3366800,24.122300099999997
2016-12-09,27.200001,27.5875,27.174999,27.5875,25.472818,3374800,24.179700120000003
2016-12-12,27.545,27.75,27.315001,27.487499,25.380486,3563200,24.24960014
2016-12-13,27.76,28.252501,27.76,28.012501,25.865236,4048000,24.32270014
2016-12-14,27.91,28.225,27.157499,27.355,25.258141,6147200,24.39820014
2016-12-15,27.4575,28.035,27.385,27.68,25.558228,4765200,24.46805014
2016-12-16,27.8575,27.905001,27.385,27.5275,25.417412,4379200,24.546300140000003
2016-12-19,27.610001,27.875,27.535,27.6775,25.555916,2588000,24.61485014
2016-12-20,27.932501,28.075001,27.83,28.0,25.853701,2748000,24.68970014
2016-12-21,27.969999,28.022499,27.780001,27.790001,25.659794,2390000,24.76835012
2016-12-22,27.7125,27.7575,27.465,27.6425,25.523602,3383200,24.855950120000003
2016-12-23,27.635,27.737499,27.5525,27.717501,25.592852,2654000,24.951250100000003
2016-12-27,27.8325,28.102501,27.827499,27.9175,25.777521,1785200,25.03765008
2016-12-28,28.032499,28.0425,27.202499,27.272499,25.181963,2704800,25.135250059999997
2016-12-29,27.2775,27.422501,27.040001,27.225,25.138109,3390800,25.210250060000003
2016-12-30,27.362499,27.3825,26.625,26.9375,24.872644,4903600,25.288600039999995
2017-01-03,27.467501,27.745001,27.049999,27.5075,25.398951,3557200,25.36990006
2017-01-04,27.6525,28.077499,27.6525,27.995001,25.849083,3548800,25.46090004
2017-01-05,27.907499,28.0175,27.615,27.93,25.789064,3352000,25.54405002
2017-01-06,28.002501,28.4375,27.764999,28.245001,26.07992,3386800,25.63090004
2017-01-09,28.1325,28.1875,27.9475,27.977501,25.832926,1995600,25.72990002
2017-01-10,27.975,28.32,27.7925,27.952499,25.809837,2475600,25.816850000000002
2017-01-11,27.92,28.184999,27.637501,28.184999,26.024521,3181600,25.91225
2017-01-12,27.975,28.059999,27.3925,27.9825,25.837543,3253200,26.010200020000003
2017-01-13,28.0525,28.285,28.030001,28.16,26.001432,2795600,26.110300000000002
2017-01-17,27.875,28.055,27.6975,27.8575,25.722124,2405600,26.22135
2017-01-18,27.959999,28.049999,27.7325,28.0375,25.888327,1934800,26.33849996
2017-01-19,28.075001,28.125,27.540001,27.737499,25.611319,2534800,26.46439996
2017-01-20,28.004999,28.2325,27.775,28.01,25.86293,3196800,26.57324994
2017-01-23,27.879999,28.0425,27.477501,27.809999,25.678261,3571600,26.67199994
2017-01-24,27.885,28.5,27.842501,28.327499,26.156096,2754000,26.773899919999998
2017-01-25,28.7325,29.065001,28.67,29.030001,26.804747,3774400,26.859249920000003
2017-01-26,29.0,29.112499,28.8575,28.9625,26.742418,3257200,26.95869992
2017-01-27,28.997499,29.0625,28.75,28.8475,26.636238,2080800,27.051799880000004
2017-01-30,28.525,28.532499,27.8675,28.325001,26.15379,4163600,27.135399899999996
2017-01-31,28.077499,28.295,27.83,28.2875,26.119162,2991200,27.20644988
2017-02-01,28.5525,28.6675,28.0625,28.325001,26.15379,3903200,27.283799899999998
2017-02-02,28.155001,28.4825,28.0075,28.344999,26.172253,2627200,27.34649992
2017-02-03,28.735001,29.01,28.612499,28.93,26.71241,3748400,27.42004992
2017-02-06,28.7575,28.922501,28.639999,28.795,26.587759,2288400,27.484849920000002
2017-02-07,28.955,29.047501,28.6975,28.795,26.587759,2212400,27.55754992
2017-02-08,28.6525,28.940001,28.549999,28.889999,26.675478,1586400,27.61634992
2017-02-09,29.012501,29.532499,28.995001,29.4,27.146385,2447600,27.682099939999997
